# Manfred数据集模型美学分数（pre_rendered_3.pt）
# 格式：模型索引	美学分数（-1~1，越高越美观）
============================================================
0	-0.272392
1	0.208104
2	0.146821
3	0.214518
4	0.002591
5	0.015472
6	-0.061295
7	0.294809
8	0.407837
9	0.108256
10	-0.505956
11	0.490187
12	-0.350422
13	0.070772
14	0.022002
15	0.119281
16	0.455975
17	0.250966
18	-0.205487
19	0.002950
20	-0.245051
21	0.500894
22	0.265590
23	-0.057322
24	-0.261949
25	0.183113
26	0.047190
27	-0.064395
28	0.127789
29	0.004778
30	0.322765
31	-0.048125
32	0.244253
33	0.083743
34	0.253481
35	0.068293
36	-0.010331
37	-0.019426
38	-0.679123
39	-0.369262
40	0.492275
41	0.522835
42	-0.104526
43	0.295194
44	0.292544
45	0.168039
46	0.242873
47	-0.524053
48	0.027321
49	0.069905
50	0.012840
51	0.541086
52	0.144598
53	-0.147363
54	0.614602
55	-0.148071
56	0.077646
57	0.177891
58	0.250332
59	0.017606
60	0.495309
61	0.206716
62	0.090372
63	0.233083
64	-0.363968
65	0.109076
66	-0.069878
67	0.238080
68	0.279538
69	-0.203238
70	-0.034675
71	0.182587
72	0.423638
73	0.062090
74	-0.207445
75	0.813791
76	0.146687
77	0.010830
78	-0.124326
79	-0.040706
80	0.188718
81	0.013900
82	-0.569462
83	-0.202058
84	-0.003827
85	0.388440
86	-0.054765
87	0.476699
88	-0.304442
89	-0.019372
90	0.234525
91	-0.151925
92	-0.055755
93	-0.261837
94	-0.131935
95	0.884012
96	-0.775538
97	0.671403
98	-0.311269
99	0.195359
100	-0.190633
101	-0.226508
102	0.245295
103	-0.240989
104	-0.138385
105	-0.316201
106	-0.409056
107	-0.090329
108	-0.078750
109	-0.144811
110	0.427435
111	-0.019618
112	0.139688
113	-0.201164
114	-0.225779
115	0.144349
116	-0.469440
117	0.451218
118	-0.175270
119	0.161506
120	-0.602254
121	-0.265263
122	0.315595
123	-0.076451
124	0.222225
125	0.386529
126	0.133562
127	0.184588
128	-0.043537
129	0.328158
130	-0.206541
131	0.175984
132	-0.169822
133	-0.222188
134	0.347202
135	0.116650
136	-0.307805
137	-0.304412
138	0.062558
139	-0.094113
140	-0.018776
141	0.116376
142	0.330497
143	-0.114491
144	0.233742
145	0.065155
146	0.279422
147	0.138397
148	0.667028
149	-0.194384
150	0.409659
151	-0.291641
152	0.138767
153	0.289897
154	-0.094141
155	-0.289098
156	-0.071241
157	-0.362671
158	0.304309
159	0.090204
160	0.689113
161	-0.031886
162	0.153965
163	0.142505
164	0.610443
165	-0.039894
166	-0.110764
167	-0.035286
168	0.230514
169	-0.452217
170	-0.170892
171	-0.176321
172	-0.243869
173	0.088471
174	-0.100036
175	0.029067
176	0.096688
177	0.216593
178	-0.729448
179	0.277021
180	-0.046758
181	0.022383
182	0.168337
183	0.372950
184	0.649644
185	0.043267
186	0.547956
187	0.375690
188	-0.231805
189	0.157095
190	0.219176
191	0.733869
192	-0.102551
193	0.232363
194	0.116505
195	0.014180
196	0.061077
197	0.151978
198	-0.235001
199	0.622885
200	-0.330682
201	0.068177
202	0.137317
203	-0.058552
204	0.327275
205	0.372025
206	0.202991
207	0.377250
208	-0.425095
209	-0.119201
210	0.273829
211	-0.163368
212	0.559192
213	-0.310188
214	0.271647
215	0.560046
216	-0.098614
217	0.225924
218	0.269416
219	0.393305
220	0.290538
221	0.275353
222	0.028198
223	0.115043
224	0.425954
225	-0.120009
226	0.182640
227	0.223468
228	0.374417
229	0.334364
230	0.122826
231	-0.181219
232	0.259586
233	0.114524
234	-0.569503
235	0.255385
236	0.130768
237	0.058022
238	0.258467
239	-0.252712
240	-0.006966
241	0.419511
242	-0.084386
243	0.173337
244	0.051856
245	0.336210
246	0.127585
247	-0.111694
248	0.351731
249	-0.147080
250	0.021625
251	0.151246
252	0.585382
253	0.374912
254	0.266125
255	0.619289
256	0.146719
257	0.125240
258	0.111602
259	0.357962
260	0.164131
261	0.041527
262	0.578138
263	0.247634
264	-0.038620
265	-0.222478
266	0.000624
267	0.220542
268	0.477731
269	0.517306
270	0.329524
271	0.238468
272	0.404098
273	0.658925
274	0.305169
275	0.098532
276	0.320211
277	0.418020
278	-0.249040
279	0.772451
280	0.605984
281	0.856946
282	0.339230
283	0.823766
284	0.157406
285	0.270105
286	0.141611
287	0.689315
288	0.165799
289	0.362919
290	0.316470
291	0.335810
292	0.237688
293	0.205947
294	0.424746
295	0.269137
296	0.330813
297	0.315342
298	0.241716
299	-0.049605
300	0.309541
301	0.663206
302	0.512419
303	0.290129
304	0.196401
305	0.696992
306	0.380995
307	-0.233387
308	-0.866057
309	0.106378
310	0.053328
311	-0.839652
312	-0.201572
313	0.199421
314	0.435783
315	-0.066561
316	0.073725
317	-0.171051
318	0.144453
319	-0.115139
320	0.012161
321	0.018749
322	-0.291372
323	-0.232147
324	0.087757
325	0.028145
326	-0.170944
327	-0.415496
328	0.232509
329	-0.314881
330	0.109486
331	0.036186
332	-0.273848
333	0.341157
334	0.154959
335	0.084164
336	-0.132498
337	0.177703
338	0.022440
339	-0.329042
340	-0.202564
341	-0.216383
342	-0.263104
343	-0.417650
344	0.114824
345	-0.042516
346	-0.065576
347	-0.132667
348	0.129465
349	0.257444
350	-0.011482
351	0.113492
352	-0.131030
353	0.223635
354	-0.367606
355	0.191452
356	0.172474
357	-0.436261
358	0.065146
359	0.074759
360	-0.277781
361	0.072831
362	0.235586
363	0.560994
364	-0.347307
365	-0.303908
366	0.291787
367	-0.546951
368	-0.099764
369	-0.142664
370	-0.000455
371	-0.323522
372	-0.071517
373	0.017953
374	-0.386291
375	0.536702
376	0.584422
377	-0.377260
378	0.393003
379	-0.360684
380	0.309248
381	0.235034
382	0.068155
383	-0.921288
384	-0.124869
385	-0.073785
386	0.211134
387	-0.331080
388	-0.230861
389	0.160209
390	0.016931
391	0.387790
392	0.327640
393	0.340802
394	0.705634
395	0.328769
396	0.353363
397	0.704283
398	0.224006
399	0.515375
400	0.497147
401	0.361984
402	0.338935
403	0.808480
404	0.319535
405	0.910301
406	0.958495
407	0.322055
408	0.200875
409	0.216191
410	0.337064
411	0.735678
412	0.842231
413	0.316809
414	0.187728
415	0.218052
416	0.335821
417	0.460353
418	0.722105
419	0.308282
420	0.641758
421	0.268893
422	0.885355
423	0.794487
424	0.679464
425	0.163383
426	0.261142
