# Manfred数据集模型美学分数（pre_rendered_3.pt）
# ModelImg2 架构（Transformer多视角融合）推理 | 分数范围：-1~1（越高越美观）
# 格式：模型索引	美学分数
============================================================
0	0.970846
1	0.982986
2	0.986658
3	0.981595
4	0.977626
5	0.988945
6	0.981618
7	0.963768
8	0.976509
9	0.986439
10	0.978106
11	0.973867
12	0.948734
13	0.984446
14	0.985053
15	0.981723
16	0.963964
17	0.980227
18	0.978228
19	0.974989
20	0.955446
21	0.923020
22	0.977015
23	0.975998
24	0.978447
25	0.987369
26	0.970434
27	0.981366
28	0.959486
29	0.984445
30	0.980043
31	0.971317
32	0.981942
33	0.983806
34	0.972578
35	0.980444
36	0.986674
37	0.961942
38	0.982273
39	0.978201
40	0.979768
41	0.983117
42	0.986693
43	0.981687
44	0.981037
45	0.980482
46	0.972199
47	0.978471
48	0.971951
49	0.983304
50	0.987819
51	0.970370
52	0.980694
53	0.975224
54	0.985348
55	0.977422
56	0.969879
57	0.986362
58	0.975641
59	0.978917
60	0.983924
61	0.972703
62	0.963696
63	0.976510
64	0.971564
65	0.984482
66	0.983995
67	0.987153
68	0.984462
69	0.977814
70	0.984472
71	0.966152
72	0.987273
73	0.981963
74	0.970016
75	0.986378
76	0.986389
77	0.953965
78	0.983697
79	0.988643
80	0.980054
81	0.979653
82	0.969914
83	0.977735
84	0.976675
85	0.985004
86	0.981259
87	0.983430
88	0.979569
89	0.985652
90	0.981814
91	0.971976
92	0.975840
93	0.982326
94	0.987416
95	0.982476
96	0.944666
97	0.988747
98	0.986194
99	0.970673
100	0.961524
101	0.970137
102	0.943174
103	0.974394
104	0.974636
105	0.982083
106	0.979026
107	0.978204
108	0.980056
109	0.982484
110	0.980999
111	0.984011
112	0.981434
113	0.944653
114	0.978591
115	0.983636
116	0.975805
117	0.981557
118	0.984608
119	0.980300
120	0.979165
121	0.979063
122	0.976383
123	0.975514
124	0.978506
125	0.979757
126	0.984405
127	0.984167
128	0.980774
129	0.985644
130	0.989550
131	0.968188
132	0.984941
133	0.979791
134	0.972626
135	0.982666
136	0.978538
137	0.976272
138	0.977900
139	0.979695
140	0.981129
141	0.980583
142	0.966144
143	0.966971
144	0.980683
145	0.984927
146	0.983101
147	0.979805
148	0.966213
149	0.982595
150	0.985128
151	0.988016
152	0.981755
153	0.972803
154	0.979682
155	0.984221
156	0.955531
157	0.900942
158	0.991124
159	0.982507
160	0.983391
161	0.978385
162	0.983738
163	0.987514
164	0.981779
165	0.983095
166	0.981285
167	0.981126
168	0.973758
169	0.988889
170	0.981581
171	0.967290
172	0.969771
173	0.986161
174	0.967874
175	0.978957
176	0.980032
177	0.965086
178	0.979855
179	0.969936
180	0.962996
181	0.952577
182	0.980921
183	0.985704
184	0.968598
185	0.982024
186	0.976054
187	0.980569
188	0.963447
189	0.980557
190	0.984456
191	0.945268
192	0.985772
193	0.983106
194	0.980854
195	0.981260
196	0.986851
197	0.985699
198	0.981869
199	0.978681
200	0.981324
201	0.982531
202	0.979125
203	0.984541
204	0.986888
205	0.986674
206	0.982432
207	0.861369
208	0.981301
209	0.975508
210	0.989016
211	0.983096
212	0.929502
213	0.985911
214	0.991774
215	0.988549
216	0.976721
217	0.980711
218	0.979138
219	0.983917
220	0.968037
221	0.982422
222	0.958537
223	0.980731
224	0.984856
225	0.982261
226	0.985367
227	0.987274
228	0.985213
229	0.986063
230	0.983455
231	0.943715
232	0.984149
233	0.974038
234	0.969921
235	0.968011
236	0.971953
237	0.986997
238	0.964873
239	0.961678
240	0.979087
241	0.972341
242	0.980082
243	0.983233
244	0.973107
245	0.971364
246	0.973868
247	0.968299
248	0.970760
249	0.983125
250	0.980591
251	0.980675
252	0.979898
253	0.981909
254	0.971607
255	0.965131
256	0.947621
257	0.970147
258	0.982348
259	0.980529
260	0.983735
261	0.983069
262	0.974090
263	0.987919
264	0.967518
265	0.982909
266	0.947516
267	0.957116
268	0.987958
269	0.962026
270	0.981087
271	0.942132
272	0.975524
273	0.968517
274	0.983003
275	0.966640
276	0.986821
277	0.976948
278	0.975571
279	0.962328
280	0.969957
281	0.962335
282	0.975547
283	0.956993
284	0.972320
285	0.971938
286	0.979033
287	0.957929
288	0.979270
289	0.963454
290	0.978125
291	0.982590
292	0.960923
293	0.968879
294	0.951497
295	0.969370
296	0.984500
297	0.978158
298	0.955904
299	0.972163
300	0.953015
301	0.972461
302	0.952594
303	0.961908
304	0.977956
305	0.979193
306	0.983982
307	0.984316
308	0.968590
309	0.980199
310	0.512463
311	0.691140
312	0.900457
313	0.974297
314	0.869311
315	0.982135
316	0.950378
317	0.976195
318	0.946767
319	0.972352
320	0.977543
321	0.949834
322	0.973912
323	0.980415
324	0.972892
325	0.971344
326	0.976207
327	0.978297
328	0.930749
329	0.970214
330	0.968290
331	0.968769
332	0.966836
333	0.981139
334	0.953566
335	0.955386
336	0.969917
337	0.976274
338	0.968118
339	0.976874
340	0.971292
341	0.976629
342	0.979194
343	0.972069
344	0.960889
345	0.970106
346	0.979150
347	0.968982
348	0.961907
349	0.925202
350	0.965348
351	0.970930
352	0.967584
353	0.957387
354	0.973426
355	0.944309
356	0.939159
357	0.963979
358	0.961102
359	0.948685
360	0.953228
361	0.979502
362	0.972191
363	0.958438
364	0.975638
365	0.981649
366	0.956263
367	0.979246
368	0.979025
369	0.977074
370	0.983735
371	0.981113
372	0.978947
373	0.980106
374	0.966936
375	0.931491
376	0.967601
377	0.973007
378	0.965588
379	0.982262
380	0.972722
381	0.974351
382	0.944374
383	0.932342
384	0.960945
385	0.972489
386	0.947969
387	0.948908
388	0.982658
389	0.974373
390	0.977421
391	0.984978
392	0.972826
393	0.979811
394	0.983604
395	0.966648
396	0.985479
397	0.981485
398	0.973925
399	0.978525
400	0.981573
401	0.978956
402	0.981781
403	0.958081
404	0.970495
405	0.982919
406	0.973413
407	0.982529
408	0.973665
409	0.983163
410	0.982229
411	0.938127
412	0.980774
413	0.983490
414	0.980575
415	0.982381
416	0.971506
417	0.981838
418	0.983462
419	0.971620
420	0.972121
421	0.979641
422	0.967307
423	0.984187
424	0.982617
425	0.970717
426	0.978477
427	0.983378
428	0.981810
429	0.972049
430	0.922772
431	0.979411
432	0.974632
433	0.984412
434	0.980348
435	0.983298
436	0.971094
437	0.963983
438	0.984699
439	0.973758
440	0.946721
441	0.973080
442	0.984708
443	0.974858
444	0.984105
445	0.984055
446	0.982451
447	0.982763
448	0.978277
449	0.975625
450	0.979488
451	0.951863
452	0.978151
453	0.963162
454	0.980829
455	0.974812
456	0.983897
457	0.979252
458	0.979633
459	0.983143
460	0.988109
461	0.984780
462	0.976433
463	0.983581
464	0.974245
465	0.974843
466	0.983892
467	0.968902
468	0.970788
469	0.990206
470	0.953723
471	0.931010
472	0.980549
473	0.986580
474	0.988447
475	0.984630
476	0.921033
477	0.985522
478	0.975870
